,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2020-02-28,285.8529968261719,15652.0,4,9,2,1,1,328.3931884765625,20082.0,322.2340148925781,318.7219549560547,8.243957117050783,-0.03793137236373856
2020-03-02,288.747802734375,10559.0,0,10,3,1,1,317.80670166015625,3309.0,320.9290344238281,318.27351318359376,11.136242945014473,0.010126904179225571
2020-03-03,292.4200134277344,16498.0,1,10,3,1,1,312.4585876464844,2496.0,319.51515045166013,317.8426873779297,17.12217298189094,0.012717709567256819
2020-03-04,294.65008544921875,22288.0,2,10,3,1,1,311.2724914550781,7704.0,318.07277526855466,317.46368896484375,15.327512774566785,0.0076262633167394345
2020-03-05,292.8699951171875,5531.0,3,10,3,1,1,297.123291015625,1263.0,316.4136703491211,317.0417926025391,15.772209771599165,-0.00604137049313036
2020-03-06,280.5513916015625,39630.0,4,10,3,1,1,285.8529968261719,57520.0,314.14747924804686,316.3735241699219,13.443810902497248,-0.042061678290723825
2020-03-09,263.01031494140625,15872.0,0,11,3,1,1,288.747802734375,3248.0,310.9615203857422,315.3628387451172,12.15225872161895,-0.06252357744519044
2020-03-10,260.3168029785156,10763.0,1,11,3,1,1,292.4200134277344,2239.0,307.52122497558594,314.3622705078125,12.614852339583067,-0.010241088694527778
2020-03-11,260.1300048828125,23389.0,2,11,3,1,1,294.65008544921875,3930.0,303.97559967041013,313.37804443359374,12.79824788455501,-0.0007175798625590479
2020-03-12,238.6300048828125,27730.0,3,11,3,1,1,292.8699951171875,18518.0,299.3002456665039,311.8879644775391,11.561810884979096,-0.08265098064979337
2020-03-13,240.68130493164062,9677.0,4,11,3,1,1,280.5513916015625,18152.0,294.7293106079102,310.4391168212891,16.223473926429364,0.008596153068996859
2020-03-16,231.97000122070312,11240.0,0,12,3,1,1,263.01031494140625,1299.0,289.6681900024414,308.8325769042969,10.942541611367474,-0.03619435133697535
2020-03-17,237.69180297851562,8701.0,1,12,3,1,1,260.3168029785156,3900.0,285.00392456054686,307.30610290527346,13.38493741276703,0.02466612806700219
2020-03-18,229.10650634765625,6441.0,2,12,3,1,1,260.1300048828125,2479.0,279.73674926757815,305.5974249267578,9.58579681237417,-0.0361194476346135
2020-03-19,235.00900268554688,3430.0,3,12,3,1,1,238.6300048828125,3590.0,274.93461456298826,303.95111328125,16.04887557736049,0.025763110930310917
