Close_CW8.PA,High_CW8.PA,Low_CW8.PA,Open_CW8.PA,Volume_CW8.PA,dat
278.862793,279.7016907,277.25,279.1755066,1097,5/8/2019
274.0040894,277.4610901,273.7000122,277.1520996,1880,5/9/2019
273.2185974,277.2062073,272.8163147,276.7025146,23958,5/10/2019
271.5343933,275.311615,270.8158875,275.311615,4052,5/13/2019
274.7496948,275.314209,271.8399963,272.0647888,5300,5/14/2019
275.8724976,275.8788147,273.0698853,275.1420898,991,5/15/2019
279.7892151,279.8641052,275,275.572113,1238,5/16/2019
279.2062073,279.5456848,276.8511047,278.3388062,1844,5/17/2019
276.4155884,278.8403015,275.3237,278.6393127,1991,5/20/2019
277.9761047,278.2376099,276.8687134,277.5263977,2557,5/21/2019
277.6404114,278.0603943,276.3486023,277.6968079,3358,5/22/2019
273.8634033,276.6199036,273.75,276.2637024,1703,5/23/2019
274.1513977,275.3782959,273.5660095,274.65979,1000,5/24/2019
275,275.6028137,274.6205139,275.1387939,2349,5/27/2019
274.6481018,275.7322998,274.1998901,275.5852966,5069,5/28/2019
271.4219971,272.3023071,271.3548889,272.3023071,7871,5/29/2019
272.092804,273.3895874,272.092804,272.4100037,1216,5/30/2019
270.0736084,270.0736084,268.5,270.0599976,9171,5/31/2019
268.5072021,268.877594,266.8178101,267.7376099,2524,6/3/2019
270.3754883,270.3754883,266.2391968,266.3891907,3251,6/4/2019
272.2981873,273.1112061,270.9999084,271.4516907,5323,6/5/2019
272.9249878,274.8012085,272.2999878,273.7218018,2604,6/6/2019
275.5322876,276.3323975,273.7632141,274.7865906,4481,6/7/2019
278.0512085,278.0512085,276.8370972,276.9453125,1671,6/10/2019
277.819397,279.3930969,277.7999878,277.8257141,4285,6/11/2019
276.7846985,277.262207,276.0295105,276.2900085,1404,6/12/2019
277.7749023,278.3800049,276.5455933,276.8395081,2265,6/13/2019
278.5057068,278.5470886,277.1506958,277.6499939,2467,6/14/2019
278.811615,279.5336914,278.2999878,279.3099976,3377,6/17/2019
282.9797058,283.4920959,277.9013062,278.5400085,7992,6/18/2019
282.5306091,283.1671143,282.3070068,283.1000061,3282,6/19/2019
283.5799866,284.6990051,283.3713989,283.8710022,7085,6/20/2019
283.3160095,283.8999939,282.396698,283.8999939,3108,6/21/2019
281.1336975,282.1799927,280.8999939,281.8443909,3854,6/24/2019
279.9993896,280.9338074,279.7934875,280.171814,2340,6/25/2019
279.0700073,280.6776123,278.9525146,279.2540894,4062,6/26/2019
279.29599,280.2999878,278.6253967,280.2999878,1386,6/27/2019
280.6292114,280.6292114,279.9520874,279.9620972,1856,6/28/2019
284.7213135,285.8598938,284.5,285.4992981,3385,7/1/2019
284.9348145,285.6915894,284.3088074,285.1214905,4730,7/2/2019
287.9277954,287.9277954,286.2799988,286.2799988,2984,7/3/2019
288.6184082,288.7987061,288.0563049,288.5447998,2741,7/4/2019
287.9706116,288.6000061,287.0599976,288.6000061,1321,7/5/2019
287.4567871,288.1774902,287.2926941,287.5299072,1580,7/8/2019
287.0660095,287.2478027,285.8656006,286.2662964,1348,7/9/2019
287.3308105,288.7359924,286.3252869,286.9162903,1552,7/10/2019
287.7637024,288.256897,287.211792,287.9462891,1994,7/11/2019
288.292511,288.6698914,287.75,287.864502,1348,7/12/2019
288.739502,289.1029053,288.1990051,288.6000061,1388,7/15/2019
289.6578979,290.0499878,288.8999939,288.9410095,1737,7/16/2019
288.1661987,289.7452087,287.9100037,289.6270142,2426,7/17/2019
286.6221008,287.5787048,286,286,2769,7/18/2019
288.5866089,288.9906006,288.0100098,288.4483948,1275,7/19/2019
287.3905945,288,287.0844116,287.2170105,954,7/22/2019
290.2568054,290.6715088,288.8323975,289.1466064,1764,7/23/2019
291.4025879,291.8367004,290.6300964,291.2684937,1145,7/24/2019
290.7279968,294.0552979,289.9866028,293.0031128,5353,7/25/2019
292.6166077,292.6166077,290.9324951,290.9324951,929,7/26/2019
291.92099,293.1943054,291.8500061,292.0618896,1230,7/29/2019
290.2785034,292.059906,289.5437012,292.0338135,3941,7/30/2019
290.9205933,290.9205933,290.0237122,290.0237122,1436,7/31/2019
292.4132996,292.6323853,290.0499878,290.1000061,3440,8/1/2019
283.4081116,286.8641968,283,286.2471924,9611,8/2/2019
276.2796936,281.4328003,275.4519043,281.3316956,3194,8/5/2019
274.5076904,277.4949036,273.5690002,274.5610962,6862,8/6/2019
275.0086975,278.4714966,272.1199951,276.2130127,6006,8/7/2019
280.9642944,280.9642944,277.4670105,278.4861145,6520,8/8/2019
279.2229004,281.8457947,279,281.6170959,3719,8/9/2019
277.5942078,282.3283081,277.5,281.5985107,1412,8/12/2019
280.305603,282.2999878,275.6672058,277.0405884,1384,8/13/2019
276.4230042,280.9172058,275.7999878,280.9172058,968,8/14/2019
275.706604,276.5440063,272.334198,276.5440063,2503,8/15/2019
279.694397,279.8001099,277.0436096,277.0436096,768,8/16/2019
283.0368958,283.0368958,281.3599854,282.5418091,922,8/19/2019
282.0599976,283.9500122,281.7796021,283.5100098,5531,8/20/2019
283.4364929,283.4364929,281.9986877,282.0078125,1348,8/21/2019
282.5350952,284.2016907,281.7000122,283.2799988,1623,8/22/2019
278.262085,284.519989,278.2600098,284.2000122,9598,8/23/2019
278.5419006,279.7901917,276.7799988,277.5935059,4643,8/26/2019
279.9937134,281.178894,278.1955872,278.7156067,5565,8/27/2019
280.3630066,280.3999939,277.7719116,279.3597107,2176,8/28/2019
284.3062134,284.4006042,280.3244019,280.3244019,3137,8/29/2019
285.796814,286.7999878,284.8713989,284.8713989,4868,8/30/2019
286.0809937,287,285.7150879,285.8153992,4161,9/2/2019
285.3338013,286.7851868,284.1565857,285.9294128,1894,9/3/2019
286.8342896,288.1499023,286.1933899,287.2298889,17087,9/4/2019
290.2244873,290.5140991,288.4852905,289.2467041,1893,9/5/2019
290.6133118,291.2666016,289.8143005,290.2609863,1252,9/6/2019
290.6365051,291.9283142,290.4400024,291.9212036,2032,9/9/2019
289.2994995,290.3380127,289.286499,290.005188,2611,9/10/2019
293.1781006,293.1781006,290.832489,291.1149902,68677,9/11/2019
293.7619019,296.8342896,292.0100098,294.1488953,3136,9/12/2019
293.8624878,294.2041931,293.1499939,293.2623901,3345,9/13/2019
294.0295105,294.322998,291.7600098,292.1427917,2185,9/16/2019
293.0354004,293.9512024,292.7417908,293.6317139,628,9/17/2019
292.6325989,293.6296997,292.6325989,292.9563904,17451,9/18/2019
295.1799927,295.1799927,292.7442017,292.7442017,3199,9/19/2019
295.486908,295.7123108,293.8522034,294.2844849,1032,9/20/2019
293.8583069,294.8599854,293.2101135,294.6600037,1579,9/23/2019
293.8399963,295.3569946,293.8399963,294.8999939,1001,9/24/2019
293.0621033,293.1000061,290.4165039,292.1499939,3896,9/25/2019
293.3399963,295.7243958,293.3399963,293.5846863,1806,9/26/2019
294.6018982,295.9400024,293.8999939,295.1199951,3290,9/27/2019
295.1099854,295.1099854,293.4625854,293.8999939,1945,9/30/2019
292.4943848,296.6900024,292.0527954,296.6900024,1843,10/1/2019
284.7200012,291.1665955,284.7200012,291.0599976,7019,10/2/2019
284.5445862,286.0527954,281.7077942,285.4100037,5190,10/3/2019
288.545105,288.545105,285.4500122,286.1315002,2354,10/4/2019
289.9634094,289.9634094,288.1719055,288.5249939,1576,10/7/2019
286.0414124,289.7506104,285.9173889,289.2799988,84615,10/8/2019
287.0029907,287.8230896,285.5039978,285.5039978,6097,10/9/2019
289.1116028,289.1116028,285.4757996,286.5606995,1180,10/10/2019
293.3092957,293.3092957,289.6715088,289.6715088,18206,10/11/2019
291.7084961,291.9899902,290.0315857,291.8880005,3210,10/14/2019
294.1669006,294.480011,292.4208984,293.019989,2832,10/15/2019
293.023407,294.2954102,292.8305054,293.6716919,1254,10/16/2019
292.1000061,293.4899902,292.1000061,292.2778931,22673,10/17/2019
291.041687,292.1499939,290.8500061,292.0097046,2470,10/18/2019
292.4809875,292.4809875,291,291.3299866,2359,10/21/2019
293.2409973,293.7568054,292.3999939,292.8599854,876,10/22/2019
293.1976013,293.3120117,291.7999878,292.0776978,772,10/23/2019
294.9934082,294.9934082,293.4672852,293.6440125,2277,10/24/2019
296.047699,296.1982117,293.7325134,294.5990906,1044,10/25/2019
297.0780029,297.6335144,295.9931946,296.1900024,3238,10/28/2019
296.9916077,297.3345947,296.2600098,297.3345947,16965,10/29/2019
296.3382874,297.0098877,295.5,296.3908081,1516,10/30/2019
294.6867065,297.0497131,294.6867065,296.5880127,2048,10/31/2019
297.4284973,298,296.0611877,296.0611877,446,11/1/2019
300.1090088,300.2932129,298.9601135,299.0340881,2951,11/4/2019
301.6661072,302,300.2401123,300.3189087,949,11/5/2019
301.678894,301.678894,300.4700928,301.0806885,28238,11/6/2019
304.0003967,304.1299133,302.7000122,303.2955933,2321,11/7/2019
303.5018921,303.6968994,302.539093,302.5426025,20186,11/8/2019
302.8817139,303.3057861,302.1600037,302.9599915,961,11/11/2019
305.0194092,305.4866943,303.2565002,304.0349121,5180,11/12/2019
304.3093872,304.3093872,302.4707947,304.0563965,965,11/13/2019
303.5993042,304.6798096,303.5993042,304.1170959,19846,11/14/2019
305.084198,305.1408997,304,305.053009,2855,11/15/2019
304.8200073,305.7940063,304.1700134,305.7200012,1587,11/18/2019
304.6075134,306.3900146,304.2616882,305.3818054,2261,11/19/2019
304.3699951,304.6000977,303.1655884,303.6740112,1697,11/20/2019
302.9296875,303.7316895,302.4283142,302.7112122,7265,11/21/2019
304.2987061,304.7319031,303.8572083,303.8572083,2949,11/22/2019
307.4703979,307.4703979,305.8066101,306.0310974,17806,11/25/2019
307.805603,307.889801,306.9473877,307.4129028,17007,11/26/2019
309.3153992,309.3559875,308.5835876,309.0827942,8972,11/27/2019
309.206604,309.2630005,308.4252014,308.5141907,1200,11/28/2019
307.8330078,309.3669128,307.8330078,307.9230042,1706,11/29/2019
302.7756042,309.5197144,302.7626038,308.8045044,4531,12/2/2019
300.151886,304.2416077,299.6810913,304.0047913,26342,12/3/2019
303.8955994,308,301,301.1882935,2743,12/4/2019
302.9934998,304.8804932,302.9934998,304.3200073,1577,12/5/2019
307.8699951,307.8699951,303.8599854,304.1462097,7517,12/6/2019
306.7460938,307.2077026,306.4494019,307.2077026,1604,12/9/2019
305.6445007,306,303.7999878,305.7290039,857,12/10/2019
305.6820984,306.2272949,305.196106,305.8891907,94717,12/11/2019
306.9997864,308.2430115,304.6000061,305.7489014,4614,12/12/2019
307.6572876,309.1000061,306.9997864,308.1976929,2834,12/13/2019
310.7449951,311,309.1416016,309.2612915,12294,12/16/2019
309.8843994,310.3164978,309.2043152,310.2759094,1034,12/17/2019
310.7395935,310.9501038,309.9500122,310.0091858,10389,12/18/2019
311.1698914,311.232605,310.240509,310.6575928,57406,12/19/2019
313.9613037,313.9613037,311.1300049,311.1300049,24141,12/20/2019
313.6000061,314.2799988,313.3595886,313.5480042,2442,12/23/2019
313.9648132,314.9749146,313.6000061,314.0299988,452,12/24/2019
313.9648132,313.9648132,313.9648132,313.9648132,0,12/25/2019
313.5445862,314.7000122,313.1900024,314.1500854,5705,12/27/2019
310.3452148,312.980011,310.1875,312.980011,1981,12/30/2019
309.3413086,311.1462097,309.3413086,311,1441,12/31/2019
313.1340027,314.2804871,312.3951111,312.563385,1318,1/2/2020
313.1236877,313.6499939,311.3230896,312.4057922,2538,1/3/2020
312.2969971,312.4396973,309.8970032,311.7943115,3894,1/6/2020
314.0155029,314.4238892,312.9590149,313.7999878,8722,1/7/2020
314.5404053,315,312.5,313.0018921,2685,1/8/2020
317.324585,317.4862976,316.7001038,317.2752075,17562,1/9/2020
317.0848999,318.5765076,317.0848999,318.2478943,1612,1/10/2020
316.6583862,317.4592896,316.2999878,316.8750916,2310,1/13/2020
317.9648132,318.5085144,316.1530151,317.2619019,1246,1/14/2020
318.0203857,318.172699,316.7840881,318.0603027,1307,1/15/2020
319.1911926,319.4230957,318.0000916,318.6604004,95151,1/16/2020
321.9718933,322.2893066,320.5401917,320.6964111,18075,1/17/2020
322.3367004,322.3699036,321.567688,321.8800049,1921,1/20/2020
321.8418884,321.8418884,320,320.7383118,3558,1/21/2020
322.4370117,323.6000061,321.9042969,323.0185852,3081,1/22/2020
321.3400879,321.9898987,320.3013,321.3999939,3706,1/23/2020
322.8132935,324.4678955,322.5,323.5899963,18206,1/24/2020
315.8099976,318.6398926,315.1000061,317.980011,4198,1/27/2020
319.4584961,319.7681885,316,317.468811,2471,1/28/2020
320.2037964,320.9899902,319,319.8778076,1482,1/29/2020
316.6575012,317.8799133,315.2901001,316.1199036,70847,1/30/2020
313.2999878,319.1300049,312.8648071,318.6744995,20082,1/31/2020
314.8474121,316.8082886,313.0073853,314.1700134,3309,2/3/2020
320.6976929,320.6976929,317.2900085,317.2900085,2496,2/4/2020
